image_id,true_label,final_prediction,pixels_changed,pixels_changed_percent
66561,7,3,4,0.5102040816326531
18650,0,8,6,0.7653061224489796
13136,7,9,7,0.8928571428571428
64571,6,8,7,0.8928571428571428
28992,0,2,8,1.0204081632653061
1239,8,2,13,1.6581632653061225
14468,2,3,14,1.7857142857142856
38638,8,3,16,2.0408163265306123
62004,8,3,17,2.1683673469387754
30482,5,8,17,2.1683673469387754
15820,8,6,18,2.295918367346939
6905,8,2,18,2.295918367346939
46550,4,6,19,2.423469387755102
25341,8,2,20,2.5510204081632653
35136,4,9,21,2.6785714285714284
50426,7,2,23,2.933673469387755
5874,9,7,23,2.933673469387755
18383,8,3,24,3.061224489795918
47317,8,9,26,3.316326530612245
47748,8,3,29,3.6989795918367347
47034,8,1,29,3.6989795918367347
10313,4,8,29,3.6989795918367347
62188,0,8,30,3.826530612244898
52727,4,6,31,3.9540816326530615
15427,1,4,31,3.9540816326530615
48975,2,8,32,4.081632653061225
45560,4,8,34,4.336734693877551
29749,5,6,37,4.719387755102041
26079,8,5,37,4.719387755102041
27147,8,3,37,4.719387755102041
17760,8,3,39,4.974489795918367
8419,5,3,39,4.974489795918367
55856,9,7,40,5.1020408163265305
18037,7,2,40,5.1020408163265305
29929,4,9,41,5.229591836734694
25176,4,9,42,5.357142857142857
18609,7,3,42,5.357142857142857
21048,8,3,42,5.357142857142857
36000,9,7,42,5.357142857142857
12957,5,8,43,5.48469387755102
17709,0,8,43,5.48469387755102
52163,6,4,44,5.612244897959184
11834,0,6,45,5.7397959183673475
37986,4,9,47,5.994897959183673
15646,7,9,47,5.994897959183673
63939,6,2,48,6.122448979591836
2696,9,7,50,6.377551020408164
33791,9,7,50,6.377551020408164
65547,8,5,50,6.377551020408164
65828,0,6,51,6.505102040816327
47747,8,3,51,6.505102040816327
23816,9,7,51,6.505102040816327
3439,4,9,51,6.505102040816327
65897,9,7,52,6.63265306122449
51698,2,7,52,6.63265306122449
36635,8,3,53,6.760204081632653
61440,4,9,53,6.760204081632653
42053,0,6,54,6.887755102040815
32016,9,3,55,7.015306122448979
15745,9,8,55,7.015306122448979
41614,0,8,56,7.142857142857142
55890,0,6,56,7.142857142857142
39320,6,5,57,7.270408163265306
52125,6,5,59,7.525510204081633
51814,4,9,59,7.525510204081633
25838,2,1,59,7.525510204081633
38849,8,3,60,7.653061224489796
4982,8,3,60,7.653061224489796
67081,9,7,61,7.780612244897959
54303,0,6,61,7.780612244897959
9098,2,8,61,7.780612244897959
12290,6,5,62,7.908163265306123
19584,0,6,62,7.908163265306123
44363,0,6,62,7.908163265306123
12473,8,3,63,8.035714285714286
52696,0,6,64,8.16326530612245
50354,0,6,64,8.16326530612245
29750,0,8,64,8.16326530612245
39874,0,6,64,8.16326530612245
7948,0,8,65,8.290816326530612
41675,6,5,66,8.418367346938775
12616,8,3,68,8.673469387755102
35304,4,9,68,8.673469387755102
21997,9,7,69,8.801020408163266
65011,8,3,69,8.801020408163266
53953,8,3,69,8.801020408163266
48927,9,8,70,8.928571428571429
47660,8,3,71,9.056122448979592
34978,8,3,71,9.056122448979592
42365,8,3,71,9.056122448979592
13274,8,3,71,9.056122448979592
9144,6,5,72,9.183673469387756
30636,9,7,72,9.183673469387756
51404,0,8,73,9.311224489795919
14034,0,6,73,9.311224489795919
9027,0,9,74,9.438775510204081
15134,6,4,75,9.566326530612244
7864,4,9,75,9.566326530612244
8792,6,5,76,9.693877551020408
9914,0,8,76,9.693877551020408
5865,9,7,77,9.821428571428571
5589,9,7,78,9.948979591836734
52948,9,7,78,9.948979591836734
55199,2,6,78,9.948979591836734
39953,9,7,78,9.948979591836734
23008,8,3,78,9.948979591836734
41637,1,9,78,9.948979591836734
14492,6,5,78,9.948979591836734
24207,7,9,78,9.948979591836734
1716,1,9,78,9.948979591836734
39876,8,3,79,10.076530612244898
53092,8,3,79,10.076530612244898
39149,8,3,79,10.076530612244898
1347,7,3,79,10.076530612244898
42438,9,2,80,10.204081632653061
47475,5,9,81,10.331632653061225
5537,8,3,81,10.331632653061225
44402,9,7,81,10.331632653061225
33011,4,7,82,10.459183673469388
15783,4,7,84,10.714285714285714
41622,8,7,84,10.714285714285714
57621,7,3,84,10.714285714285714
28463,9,7,84,10.714285714285714
11911,0,6,84,10.714285714285714
10867,9,7,85,10.841836734693878
35807,9,7,85,10.841836734693878
58594,0,6,85,10.841836734693878
68522,8,5,85,10.841836734693878
12999,9,7,86,10.96938775510204
68,0,8,86,10.96938775510204
33948,9,7,86,10.96938775510204
46318,9,3,87,11.096938775510203
66590,0,8,87,11.096938775510203
11252,9,7,87,11.096938775510203
33366,9,7,87,11.096938775510203
33697,2,3,87,11.096938775510203
50124,9,3,88,11.224489795918368
64720,0,2,88,11.224489795918368
60107,1,6,89,11.35204081632653
1410,9,8,89,11.35204081632653
4677,8,3,89,11.35204081632653
62393,8,3,89,11.35204081632653
47292,9,2,89,11.35204081632653
39776,1,2,90,11.479591836734695
49155,4,7,90,11.479591836734695
19686,0,8,90,11.479591836734695
21214,6,5,91,11.607142857142858
45737,8,3,92,11.73469387755102
47271,0,6,93,11.862244897959185
41377,9,8,93,11.862244897959185
38466,1,9,93,11.862244897959185
68725,8,3,93,11.862244897959185
17700,8,5,93,11.862244897959185
41575,8,3,93,11.862244897959185
4696,1,9,93,11.862244897959185
32874,8,3,93,11.862244897959185
30467,8,3,93,11.862244897959185
49000,4,7,93,11.862244897959185
58358,8,3,93,11.862244897959185
44650,1,6,94,11.989795918367346
59204,7,3,94,11.989795918367346
35227,4,7,95,12.11734693877551
54672,4,9,95,12.11734693877551
57085,9,3,95,12.11734693877551
38458,7,3,96,12.244897959183673
42555,5,3,96,12.244897959183673
984,0,8,96,12.244897959183673
62277,1,9,97,12.372448979591837
15528,5,3,97,12.372448979591837
53817,8,2,97,12.372448979591837
17314,0,9,98,12.5
55122,8,3,98,12.5
1572,2,8,98,12.5
63251,0,9,98,12.5
26257,8,3,98,12.5
5891,4,7,98,12.5
2156,6,5,99,12.627551020408163
54742,4,9,99,12.627551020408163
3502,8,3,99,12.627551020408163
34837,7,4,99,12.627551020408163
38087,9,7,99,12.627551020408163
47812,0,9,99,12.627551020408163
67505,0,6,100,12.755102040816327
22144,0,8,101,12.882653061224488
5666,5,3,101,12.882653061224488
3351,4,7,101,12.882653061224488
26132,4,7,101,12.882653061224488
37654,9,7,101,12.882653061224488
10252,4,9,101,12.882653061224488
27218,4,9,101,12.882653061224488
32770,8,3,102,13.010204081632654
6722,7,9,102,13.010204081632654
65546,9,7,102,13.010204081632654
4423,4,7,103,13.137755102040815
61222,4,9,103,13.137755102040815
4919,4,7,103,13.137755102040815
59673,6,5,103,13.137755102040815
34027,4,5,104,13.26530612244898
48514,4,7,104,13.26530612244898
63452,1,7,104,13.26530612244898
61796,0,6,104,13.26530612244898
10150,4,9,104,13.26530612244898
4831,9,7,104,13.26530612244898
36734,0,8,105,13.392857142857142
64110,1,7,105,13.392857142857142
57551,9,8,106,13.520408163265307
42558,6,8,106,13.520408163265307
21234,6,5,106,13.520408163265307
1688,6,0,106,13.520408163265307
42230,0,8,106,13.520408163265307
24198,2,3,106,13.520408163265307
49831,8,6,106,13.520408163265307
14162,8,5,107,13.64795918367347
13437,9,7,107,13.64795918367347
54679,9,7,107,13.64795918367347
30110,9,7,107,13.64795918367347
56569,2,3,107,13.64795918367347
12237,9,7,107,13.64795918367347
33757,9,7,107,13.64795918367347
15973,8,3,107,13.64795918367347
52202,0,8,108,13.77551020408163
63170,0,9,108,13.77551020408163
21406,8,3,108,13.77551020408163
10021,8,3,108,13.77551020408163
42998,8,3,109,13.903061224489797
60373,8,2,109,13.903061224489797
24880,4,2,109,13.903061224489797
46167,6,0,109,13.903061224489797
40491,6,5,109,13.903061224489797
10488,0,8,110,14.030612244897958
54947,1,8,110,14.030612244897958
54788,6,2,110,14.030612244897958
52938,2,3,110,14.030612244897958
10491,4,9,110,14.030612244897958
49127,4,7,110,14.030612244897958
9677,0,6,111,14.158163265306122
59438,8,3,111,14.158163265306122
52031,1,7,111,14.158163265306122
68066,9,7,111,14.158163265306122
5043,8,3,111,14.158163265306122
31781,8,3,111,14.158163265306122
41125,4,5,111,14.158163265306122
26308,0,8,111,14.158163265306122
39781,9,7,111,14.158163265306122
43458,1,7,111,14.158163265306122
47636,6,0,111,14.158163265306122
62907,4,9,112,14.285714285714285
59861,8,3,112,14.285714285714285
11543,1,7,113,14.41326530612245
8787,4,7,113,14.41326530612245
56724,0,2,113,14.41326530612245
45026,8,5,113,14.41326530612245
60564,0,8,113,14.41326530612245
39743,4,9,113,14.41326530612245
30324,8,3,113,14.41326530612245
19634,4,7,114,14.540816326530612
25294,2,3,114,14.540816326530612
22437,9,3,114,14.540816326530612
16263,8,2,114,14.540816326530612
17447,9,3,114,14.540816326530612
7104,6,2,114,14.540816326530612
46391,0,6,114,14.540816326530612
21078,0,2,114,14.540816326530612
8187,0,6,114,14.540816326530612
62485,0,8,114,14.540816326530612
64877,1,9,115,14.668367346938776
20934,0,8,115,14.668367346938776
32271,9,7,115,14.668367346938776
68680,9,7,115,14.668367346938776
61254,1,9,115,14.668367346938776
5927,0,5,115,14.668367346938776
25667,9,7,115,14.668367346938776
7594,2,8,115,14.668367346938776
49429,0,6,115,14.668367346938776
41936,2,1,116,14.795918367346939
68266,8,3,116,14.795918367346939
35537,6,5,116,14.795918367346939
52199,7,3,117,14.923469387755103
55741,8,9,117,14.923469387755103
15888,1,8,118,15.051020408163266
16971,1,7,118,15.051020408163266
27798,8,3,118,15.051020408163266
12113,1,4,118,15.051020408163266
61835,1,9,118,15.051020408163266
9693,1,9,118,15.051020408163266
22489,1,7,118,15.051020408163266
37716,1,9,119,15.178571428571427
34356,0,5,119,15.178571428571427
48467,4,9,119,15.178571428571427
40859,0,8,119,15.178571428571427
40938,9,7,119,15.178571428571427
