image_id,true_label,final_prediction,pixels_changed,pixels_changed_percent
16830,ship,airplane,1,0.09765625
15092,ship,truck,1,0.09765625
55869,horse,dog,1,0.09765625
18080,airplane,frog,1,0.09765625
16273,cat,truck,1,0.09765625
54842,bird,airplane,1,0.09765625
41548,bird,deer,1,0.09765625
49242,dog,frog,1,0.09765625
41059,ship,airplane,1,0.09765625
16556,dog,frog,1,0.09765625
3373,cat,dog,1,0.09765625
56181,ship,automobile,1,0.09765625
10171,ship,bird,1,0.09765625
39237,bird,deer,1,0.09765625
40171,deer,frog,1,0.09765625
8415,deer,cat,1,0.09765625
30336,frog,bird,2,0.1953125
24344,dog,cat,2,0.1953125
8230,dog,cat,2,0.1953125
4019,dog,cat,2,0.1953125
28734,bird,horse,2,0.1953125
41782,cat,frog,2,0.1953125
5354,cat,truck,2,0.1953125
50310,ship,automobile,3,0.29296875
44046,dog,truck,3,0.29296875
2272,ship,airplane,3,0.29296875
52818,dog,frog,3,0.29296875
44191,cat,truck,3,0.29296875
58339,ship,airplane,3,0.29296875
36055,airplane,deer,3,0.29296875
39198,ship,automobile,3,0.29296875
50552,ship,automobile,3,0.29296875
51790,horse,deer,3,0.29296875
5440,deer,dog,4,0.390625
27866,ship,airplane,4,0.390625
8237,bird,airplane,4,0.390625
9844,ship,airplane,4,0.390625
41362,bird,frog,4,0.390625
21389,deer,cat,4,0.390625
13020,ship,airplane,5,0.48828125
23322,cat,frog,5,0.48828125
13404,ship,airplane,5,0.48828125
8746,airplane,automobile,5,0.48828125
2511,automobile,truck,5,0.48828125
26437,ship,frog,5,0.48828125
54148,cat,frog,5,0.48828125
2115,frog,automobile,5,0.48828125
50991,dog,bird,6,0.5859375
15173,bird,airplane,6,0.5859375
53287,dog,horse,6,0.5859375
13438,bird,frog,6,0.5859375
4476,airplane,horse,6,0.5859375
58982,bird,dog,6,0.5859375
55373,bird,automobile,6,0.5859375
46222,dog,truck,7,0.68359375
59701,deer,horse,7,0.68359375
57882,horse,deer,7,0.68359375
50815,ship,automobile,7,0.68359375
2288,frog,cat,7,0.68359375
4247,horse,deer,7,0.68359375
14058,ship,airplane,8,0.78125
42230,bird,airplane,8,0.78125
15451,automobile,truck,8,0.78125
23276,deer,bird,8,0.78125
13661,cat,dog,8,0.78125
8113,ship,automobile,8,0.78125
18291,airplane,automobile,8,0.78125
14316,deer,truck,8,0.78125
54897,automobile,truck,9,0.87890625
57108,bird,horse,9,0.87890625
24089,truck,airplane,9,0.87890625
47478,cat,airplane,9,0.87890625
14339,automobile,truck,10,0.9765625
43385,cat,dog,10,0.9765625
7463,horse,dog,10,0.9765625
54899,bird,airplane,10,0.9765625
23482,dog,cat,11,1.07421875
42388,ship,airplane,11,1.07421875
51510,ship,bird,11,1.07421875
24545,horse,deer,11,1.07421875
33282,bird,airplane,11,1.07421875
51037,horse,truck,12,1.171875
8445,ship,truck,12,1.171875
18497,cat,horse,12,1.171875
47910,bird,deer,12,1.171875
47019,ship,automobile,13,1.26953125
3236,deer,bird,13,1.26953125
12893,automobile,truck,13,1.26953125
39330,truck,airplane,13,1.26953125
53534,bird,airplane,13,1.26953125
48630,dog,horse,13,1.26953125
39789,cat,airplane,13,1.26953125
56544,airplane,ship,13,1.26953125
31208,automobile,truck,14,1.3671875
55380,automobile,truck,14,1.3671875
53904,automobile,truck,14,1.3671875
31975,cat,automobile,15,1.46484375
34003,dog,cat,15,1.46484375
18986,dog,cat,15,1.46484375
13694,ship,automobile,15,1.46484375
49780,truck,cat,15,1.46484375
55051,automobile,truck,15,1.46484375
8095,automobile,truck,15,1.46484375
38497,deer,airplane,16,1.5625
7589,bird,frog,16,1.5625
48202,deer,cat,16,1.5625
41547,deer,bird,16,1.5625
53148,airplane,ship,17,1.66015625
28232,deer,horse,17,1.66015625
17922,ship,automobile,17,1.66015625
37684,bird,deer,18,1.7578125
2626,bird,frog,18,1.7578125
47750,bird,dog,18,1.7578125
17956,horse,truck,18,1.7578125
42171,automobile,truck,19,1.85546875
56361,airplane,ship,19,1.85546875
17749,bird,horse,19,1.85546875
28568,bird,deer,19,1.85546875
47139,deer,horse,19,1.85546875
3530,frog,dog,20,1.953125
6908,automobile,truck,20,1.953125
53228,cat,dog,20,1.953125
938,airplane,ship,20,1.953125
18851,frog,dog,20,1.953125
56937,ship,airplane,21,2.05078125
2735,ship,automobile,21,2.05078125
31814,ship,automobile,21,2.05078125
32218,airplane,cat,21,2.05078125
52440,horse,cat,21,2.05078125
55061,automobile,cat,21,2.05078125
20323,bird,frog,21,2.05078125
37471,dog,cat,21,2.05078125
16937,automobile,truck,21,2.05078125
3547,dog,cat,22,2.1484375
51730,deer,horse,22,2.1484375
8536,bird,deer,22,2.1484375
8044,airplane,frog,22,2.1484375
37001,horse,truck,22,2.1484375
34605,horse,dog,23,2.24609375
55522,bird,cat,24,2.34375
50895,automobile,truck,25,2.44140625
42577,frog,truck,25,2.44140625
48817,dog,cat,25,2.44140625
4900,horse,dog,25,2.44140625
39339,bird,dog,25,2.44140625
