image_id,true_label,final_prediction,pixels_changed,pixels_changed_percent
1094,2,0,1,0.0244140625
1370,2,0,2,0.048828125
2232,4,3,3,0.0732421875
2330,4,2,3,0.0732421875
606,1,2,6,0.146484375
1324,2,0,7,0.1708984375
1927,3,2,12,0.29296875
1373,2,1,22,0.537109375
1463,2,4,23,0.5615234375
2612,2,3,27,0.6591796875
2743,4,1,27,0.6591796875
2089,4,0,30,0.732421875
1424,2,3,33,0.8056640625
1337,2,3,38,0.927734375
1003,2,4,42,1.025390625
623,1,2,58,1.416015625
1091,2,0,60,1.46484375
2009,4,3,64,1.5625
2728,4,3,68,1.66015625
1248,2,4,69,1.6845703125
1099,2,0,75,1.8310546875
2715,4,3,87,2.1240234375
507,1,0,90,2.197265625
1603,3,0,91,2.2216796875
877,1,2,97,2.3681640625
2529,0,4,101,2.4658203125
1461,2,3,106,2.587890625
1498,2,3,108,2.63671875
1482,2,0,109,2.6611328125
233,0,2,110,2.685546875
1209,2,3,111,2.7099609375
299,0,3,120,2.9296875
301,0,3,130,3.173828125
804,1,2,131,3.1982421875
2541,0,4,135,3.2958984375
1130,2,3,137,3.3447265625
419,0,2,146,3.564453125
2534,0,3,156,3.80859375
408,0,2,156,3.80859375
223,0,3,156,3.80859375
628,1,2,156,3.80859375
1535,3,4,157,3.8330078125
1396,2,3,159,3.8818359375
120,0,4,164,4.00390625
1489,2,1,172,4.19921875
430,0,1,180,4.39453125
1458,2,3,190,4.638671875
1150,2,3,195,4.7607421875
915,1,2,198,4.833984375
171,0,3,199,4.8583984375
1833,3,4,214,5.224609375
1551,3,2,216,5.2734375
258,0,4,217,5.2978515625
84,0,4,221,5.3955078125
2060,4,0,224,5.46875
2021,4,0,224,5.46875
2180,4,0,230,5.615234375
1949,3,2,236,5.76171875
2359,4,0,238,5.810546875
1510,3,4,242,5.908203125
757,1,2,242,5.908203125
1571,3,2,246,6.005859375
801,1,2,247,6.0302734375
615,1,2,273,6.6650390625
2196,4,0,274,6.689453125
439,0,3,276,6.73828125
2355,4,3,286,6.982421875
2727,4,3,286,6.982421875
2450,4,3,286,6.982421875
202,0,4,287,7.0068359375
2380,4,3,287,7.0068359375
2283,4,3,287,7.0068359375
2729,4,3,288,7.03125
128,0,3,296,7.2265625
457,0,2,296,7.2265625
842,1,2,299,7.2998046875
96,0,4,299,7.2998046875
70,0,4,299,7.2998046875
1970,3,2,305,7.4462890625
899,1,2,312,7.6171875
1871,3,2,316,7.71484375
296,0,3,318,7.763671875
1069,2,0,319,7.7880859375
846,1,2,324,7.91015625
2102,4,0,327,7.9833984375
1636,3,2,329,8.0322265625
1525,3,0,330,8.056640625
1907,3,4,332,8.10546875
1687,3,2,333,8.1298828125
949,1,2,336,8.203125
1250,2,3,343,8.3740234375
1108,2,3,344,8.3984375
531,1,3,349,8.5205078125
897,1,4,353,8.6181640625
2673,3,2,358,8.740234375
1438,2,3,359,8.7646484375
1002,2,0,361,8.8134765625
2543,0,4,367,8.9599609375
415,0,4,369,9.0087890625
2669,3,2,372,9.08203125
1454,2,4,379,9.2529296875
1492,2,4,380,9.27734375
1363,2,4,385,9.3994140625
1170,2,3,398,9.716796875
2648,2,3,402,9.814453125
1202,2,0,417,10.1806640625
1868,3,2,426,10.400390625
1419,2,3,426,10.400390625
2611,2,3,431,10.5224609375
1383,2,3,433,10.5712890625
1985,3,4,433,10.5712890625
458,0,3,436,10.64453125
1747,3,4,438,10.693359375
659,1,2,438,10.693359375
2405,4,2,449,10.9619140625
2545,0,4,470,11.474609375
618,1,2,470,11.474609375
2591,1,2,471,11.4990234375
352,0,3,479,11.6943359375
763,1,2,499,12.1826171875
2219,4,0,501,12.2314453125
838,1,2,502,12.255859375
510,1,2,517,12.6220703125
294,0,2,529,12.9150390625
1000,2,3,535,13.0615234375
1379,2,3,558,13.623046875
1187,2,0,568,13.8671875
1470,2,3,574,14.013671875
771,1,3,602,14.697265625
2565,1,2,616,15.0390625
1406,2,3,621,15.1611328125
1953,3,4,621,15.1611328125
450,0,3,629,15.3564453125
219,0,3,637,15.5517578125
1725,3,2,640,15.625
1685,3,0,640,15.625
681,1,2,648,15.8203125
1036,2,4,653,15.9423828125
498,0,4,655,15.9912109375
2427,4,0,670,16.357421875
1107,2,3,674,16.455078125
2486,4,0,676,16.50390625
85,0,4,692,16.89453125
710,1,2,698,17.041015625
1911,3,4,700,17.08984375
1140,2,3,711,17.3583984375
266,0,4,712,17.3828125
229,0,4,713,17.4072265625
335,0,4,740,18.06640625
2444,4,2,748,18.26171875
2687,3,4,766,18.701171875
1584,3,4,767,18.7255859375
1756,3,0,770,18.798828125
310,0,4,773,18.8720703125
2222,4,3,781,19.0673828125
2718,4,3,802,19.580078125
389,0,4,802,19.580078125
194,0,2,806,19.677734375
278,0,4,806,19.677734375
293,0,4,825,20.1416015625
2474,4,3,841,20.5322265625
1699,3,4,849,20.7275390625
339,0,4,856,20.8984375
104,0,4,859,20.9716796875
1637,3,4,865,21.1181640625
2373,4,3,896,21.875
2004,4,0,925,22.5830078125
566,1,2,929,22.6806640625
2559,1,2,971,23.7060546875
77,0,3,973,23.7548828125
2314,4,0,1004,24.51171875
2557,1,2,1005,24.5361328125
1909,3,4,1007,24.5849609375
468,0,3,1023,24.9755859375
1997,3,1,1049,25.6103515625
712,1,2,1052,25.68359375
1983,3,1,1065,26.0009765625
2144,4,2,1074,26.220703125
40,0,4,1076,26.26953125
888,1,2,1088,26.5625
1986,3,0,1093,26.6845703125
1460,2,1,1095,26.7333984375
1656,3,0,1110,27.099609375
267,0,4,1113,27.1728515625
1859,3,0,1119,27.3193359375
579,1,2,1129,27.5634765625
2492,4,3,1160,28.3203125
409,0,4,1161,28.3447265625
2030,4,3,1162,28.369140625
48,0,4,1180,28.80859375
971,1,2,1181,28.8330078125
944,1,2,1182,28.857421875
1351,2,3,1214,29.638671875
1214,2,1,1214,29.638671875
1820,3,4,1218,29.736328125
2094,4,3,1221,29.8095703125
2599,1,2,1241,30.2978515625
2698,3,0,1245,30.3955078125
974,1,2,1250,30.517578125
1597,3,0,1257,30.6884765625
588,1,2,1257,30.6884765625
1558,3,0,1263,30.8349609375
981,1,2,1278,31.201171875
2293,4,0,1292,31.54296875
898,1,2,1303,31.8115234375
885,1,2,1310,31.982421875
2078,4,3,1318,32.177734375
1757,3,4,1354,33.056640625
1652,3,4,1356,33.10546875
2273,4,3,1371,33.4716796875
1793,3,4,1375,33.5693359375
2154,4,3,1377,33.6181640625
2200,4,3,1378,33.642578125
783,1,2,1397,34.1064453125
1790,3,0,1402,34.228515625
719,1,2,1406,34.326171875
1618,3,0,1453,35.4736328125
1730,3,0,1458,35.595703125
1523,3,0,1459,35.6201171875
1330,2,4,1461,35.6689453125
1644,3,4,1475,36.0107421875
1598,3,0,1483,36.2060546875
966,1,2,1504,36.71875
1581,3,2,1525,37.2314453125
356,0,1,1537,37.5244140625
1018,2,0,1581,38.5986328125
2572,1,2,1592,38.8671875
1870,3,0,1629,39.7705078125
1882,3,0,1629,39.7705078125
1568,3,0,1662,40.576171875
380,0,3,1665,40.6494140625
1967,3,4,1689,41.2353515625
2391,4,0,1707,41.6748046875
1853,3,0,1709,41.7236328125
2481,4,3,1712,41.796875
2012,4,0,1725,42.1142578125
1564,3,0,1725,42.1142578125
1906,3,0,1727,42.1630859375
1289,2,4,1732,42.28515625
1608,3,0,1733,42.3095703125
1694,3,4,1743,42.5537109375
676,1,2,1793,43.7744140625
1887,3,0,1824,44.53125
2229,4,3,1840,44.921875
1245,2,4,1844,45.01953125
1680,3,4,1855,45.2880859375
58,0,4,1855,45.2880859375
2607,2,4,1863,45.4833984375
2211,4,0,1919,46.8505859375
1787,3,0,1920,46.875
1563,3,0,1955,47.7294921875
610,1,2,1972,48.14453125
469,0,4,1973,48.1689453125
1812,3,0,1996,48.73046875
574,1,2,2000,48.828125
657,1,2,2001,48.8525390625
1663,3,0,2098,51.220703125
2454,4,2,2112,51.5625
2476,4,0,2113,51.5869140625
1570,3,0,2149,52.4658203125
1965,3,0,2150,52.490234375
667,1,2,2190,53.466796875
904,1,2,2239,54.6630859375
2725,4,3,2265,55.2978515625
764,1,2,2283,55.7373046875
1899,3,2,2294,56.005859375
516,1,2,2315,56.5185546875
1034,2,3,2338,57.080078125
2556,1,2,2374,57.958984375
605,1,2,2374,57.958984375
547,1,2,2378,58.056640625
511,1,2,2383,58.1787109375
806,1,2,2383,58.1787109375
1650,3,2,2390,58.349609375
784,1,2,2393,58.4228515625
723,1,2,2395,58.4716796875
2099,4,3,2415,58.9599609375
720,1,2,2428,59.27734375
552,1,2,2430,59.326171875
1913,3,4,2434,59.423828125
2406,4,3,2439,59.5458984375
1800,3,4,2439,59.5458984375
2197,4,0,2447,59.7412109375
975,1,2,2466,60.205078125
1942,3,4,2488,60.7421875
1064,2,4,2552,62.3046875
1241,2,0,2674,65.283203125
505,1,2,2687,65.6005859375
629,1,2,2689,65.6494140625
988,1,2,2767,67.5537109375
2370,4,0,2800,68.359375
1226,2,3,2930,71.533203125
50,0,4,2955,72.1435546875
722,1,0,2990,72.998046875
1144,2,3,3077,75.1220703125
1252,2,3,3083,75.2685546875
1267,2,0,3126,76.318359375
2251,4,0,3127,76.3427734375
1274,2,3,3173,77.4658203125
1050,2,0,3206,78.271484375
556,1,0,3211,78.3935546875
940,1,0,3238,79.052734375
1346,2,0,3243,79.1748046875
2337,4,0,3253,79.4189453125
2569,1,0,3268,79.78515625
820,1,2,3296,80.46875
935,1,0,3299,80.5419921875
1115,2,1,3311,80.8349609375
2573,1,0,3318,81.005859375
825,1,0,3318,81.005859375
733,1,0,3320,81.0546875
631,1,0,3326,81.201171875
881,1,0,3337,81.4697265625
567,1,0,3357,81.9580078125
506,1,0,3369,82.2509765625
575,1,0,3386,82.666015625
2107,4,0,3543,86.4990234375
2087,4,0,3703,90.4052734375
2394,4,0,3755,91.6748046875
2069,4,0,3844,93.84765625
2254,4,1,3936,96.09375
1123,2,4,3953,96.5087890625
2092,4,0,4021,98.1689453125
2176,4,0,4022,98.193359375
2734,4,0,4023,98.2177734375
2039,4,0,4024,98.2421875
2377,4,0,4024,98.2421875
2339,4,0,4032,98.4375
2073,4,0,4036,98.53515625
2720,4,0,4036,98.53515625
2297,4,0,4039,98.6083984375
2141,4,0,4039,98.6083984375
2387,4,0,4046,98.779296875
325,0,0,4096,100.0
336,0,0,4096,100.0
46,0,0,4096,100.0
