image_id,true_label,orig_pred,zone_name,zone_coords,zone_pred,changed,img_height,img_width,level,zone_area_pixels,orig_img_resolution
776,4,4,bottom_left,[14..27][0..13],4,False,28,28,1,196,28x28
776,4,4,bottom_right,[14..27][14..27],4,False,28,28,1,196,28x28
776,4,4,top_left,[0..13][0..13],4,False,28,28,1,196,28x28
776,4,4,top_right,[0..13][14..27],4,False,28,28,1,196,28x28
963,1,1,bottom_left,[14..27][0..13],1,False,28,28,1,196,28x28
963,1,1,bottom_right,[14..27][14..27],1,False,28,28,1,196,28x28
963,1,1,top_left,[0..13][0..13],1,False,28,28,1,196,28x28
963,1,1,top_right,[0..13][14..27],1,False,28,28,1,196,28x28
1949,7,7,bottom_left,[14..27][0..13],7,False,28,28,1,196,28x28
1949,7,7,bottom_right,[14..27][14..27],7,False,28,28,1,196,28x28
1949,7,7,top_left,[0..13][0..13],7,False,28,28,1,196,28x28
1949,7,7,top_right,[0..13][14..27],7,False,28,28,1,196,28x28
3392,9,9,bottom_left,[14..27][0..13],9,False,28,28,1,196,28x28
3392,9,9,bottom_right,[14..27][14..27],5,True,28,28,1,196,28x28
3392,9,9,top_left,[0..13][0..13],9,False,28,28,1,196,28x28
3392,9,9,top_right,[0..13][14..27],9,False,28,28,1,196,28x28
3392,9,9,bottom_left,[21..27][14..20],9,False,28,28,2,49,28x28
3392,9,9,bottom_right,[21..27][21..27],9,False,28,28,2,49,28x28
3392,9,9,top_left,[14..20][14..20],9,False,28,28,2,49,28x28
3392,9,9,top_right,[14..20][21..27],9,False,28,28,2,49,28x28
5844,6,6,bottom_left,[14..27][0..13],6,False,28,28,1,196,28x28
5844,6,6,bottom_right,[14..27][14..27],6,False,28,28,1,196,28x28
5844,6,6,top_left,[0..13][0..13],6,False,28,28,1,196,28x28
5844,6,6,top_right,[0..13][14..27],6,False,28,28,1,196,28x28
6654,8,8,bottom_left,[14..27][0..13],8,False,28,28,1,196,28x28
6654,8,8,bottom_right,[14..27][14..27],8,False,28,28,1,196,28x28
6654,8,8,top_left,[0..13][0..13],8,False,28,28,1,196,28x28
6654,8,8,top_right,[0..13][14..27],8,False,28,28,1,196,28x28
6920,2,2,bottom_left,[14..27][0..13],2,False,28,28,1,196,28x28
6920,2,2,bottom_right,[14..27][14..27],2,False,28,28,1,196,28x28
6920,2,2,top_left,[0..13][0..13],2,False,28,28,1,196,28x28
6920,2,2,top_right,[0..13][14..27],2,False,28,28,1,196,28x28
7324,5,5,bottom_left,[14..27][0..13],5,False,28,28,1,196,28x28
7324,5,5,bottom_right,[14..27][14..27],5,False,28,28,1,196,28x28
7324,5,5,top_left,[0..13][0..13],5,False,28,28,1,196,28x28
7324,5,5,top_right,[0..13][14..27],5,False,28,28,1,196,28x28
9440,0,0,bottom_left,[14..27][0..13],0,False,28,28,1,196,28x28
9440,0,0,bottom_right,[14..27][14..27],9,True,28,28,1,196,28x28
9440,0,0,top_left,[0..13][0..13],0,False,28,28,1,196,28x28
9440,0,0,top_right,[0..13][14..27],0,False,28,28,1,196,28x28
9440,0,0,bottom_left,[21..27][14..20],0,False,28,28,2,49,28x28
9440,0,0,bottom_right,[21..27][21..27],0,False,28,28,2,49,28x28
9440,0,0,top_left,[14..20][14..20],0,False,28,28,2,49,28x28
9440,0,0,top_right,[14..20][21..27],0,False,28,28,2,49,28x28
9742,3,3,bottom_left,[14..27][0..13],3,False,28,28,1,196,28x28
9742,3,3,bottom_right,[14..27][14..27],3,False,28,28,1,196,28x28
9742,3,3,top_left,[0..13][0..13],3,False,28,28,1,196,28x28
9742,3,3,top_right,[0..13][14..27],3,False,28,28,1,196,28x28
