image_id,true_label,final_prediction,pixels_changed,pixels_changed_percent
9603,2,7,1,0.09765625
6871,9,3,1,0.09765625
3071,7,3,1,0.09765625
4261,9,8,1,0.09765625
2060,5,3,1,0.09765625
3280,3,5,1,0.09765625
8786,3,4,1,0.09765625
4563,7,5,1,0.09765625
8146,8,0,1,0.09765625
5611,5,2,1,0.09765625
9522,3,5,1,0.09765625
9779,2,3,1,0.09765625
3105,1,9,1,0.09765625
8208,8,9,1,0.09765625
190,5,6,1,0.09765625
5418,8,1,1,0.09765625
7741,5,3,1,0.09765625
551,5,3,1,0.09765625
9483,0,8,1,0.09765625
2046,3,5,1,0.09765625
4566,8,0,1,0.09765625
3901,3,8,1,0.09765625
8967,2,3,1,0.09765625
2420,8,1,1,0.09765625
3734,7,5,1,0.09765625
4225,5,3,1,0.09765625
1230,5,3,1,0.09765625
8806,3,2,1,0.09765625
7790,8,0,1,0.09765625
9140,7,9,1,0.09765625
8716,2,0,1,0.09765625
1906,9,3,1,0.09765625
434,3,7,1,0.09765625
3413,3,5,1,0.09765625
3056,4,6,1,0.09765625
2778,4,7,1,0.09765625
9781,3,5,1,0.09765625
1547,2,0,1,0.09765625
7228,3,6,1,0.09765625
2881,7,4,1,0.09765625
1097,5,7,1,0.09765625
825,3,2,1,0.09765625
5795,7,4,1,0.09765625
808,7,3,1,0.09765625
1205,8,0,1,0.09765625
5508,7,5,1,0.09765625
385,8,0,1,0.09765625
2543,3,5,1,0.09765625
568,9,6,1,0.09765625
1713,8,9,1,0.09765625
2032,4,2,1,0.09765625
4546,2,0,1,0.09765625
1294,8,0,1,0.09765625
7436,0,8,1,0.09765625
8968,8,9,1,0.09765625
5071,1,0,1,0.09765625
4612,7,4,1,0.09765625
7914,7,5,1,0.09765625
7402,0,9,1,0.09765625
405,4,6,1,0.09765625
7203,5,7,1,0.09765625
275,5,2,1,0.09765625
9725,8,0,1,0.09765625
7567,7,3,1,0.09765625
8906,4,7,1,0.09765625
6574,0,8,1,0.09765625
8078,7,5,1,0.09765625
4725,9,1,1,0.09765625
1960,2,5,1,0.09765625
125,0,2,1,0.09765625
3757,4,0,1,0.09765625
8267,0,7,1,0.09765625
5990,8,0,1,0.09765625
2319,7,4,1,0.09765625
5134,5,6,1,0.09765625
3257,7,5,1,0.09765625
3854,8,1,1,0.09765625
8630,5,2,1,0.09765625
4410,9,8,1,0.09765625
5404,2,6,1,0.09765625
1841,9,8,1,0.09765625
4643,3,2,1,0.09765625
1479,2,3,1,0.09765625
5206,3,4,1,0.09765625
1525,3,8,1,0.09765625
2423,2,6,1,0.09765625
2021,8,0,1,0.09765625
1328,5,3,1,0.09765625
8412,2,4,1,0.09765625
7241,5,4,1,0.09765625
9640,5,7,1,0.09765625
1251,2,5,1,0.09765625
540,1,9,1,0.09765625
5115,5,2,1,0.09765625
4589,3,4,1,0.09765625
9465,5,4,1,0.09765625
4366,2,6,1,0.09765625
8384,2,3,1,0.09765625
5380,1,9,1,0.09765625
8516,8,4,1,0.09765625
3605,6,4,1,0.09765625
6305,6,3,1,0.09765625
4286,2,0,1,0.09765625
6938,3,4,1,0.09765625
3216,4,3,1,0.09765625
3408,2,6,1,0.09765625
7834,5,4,1,0.09765625
4745,7,1,1,0.09765625
3676,9,1,1,0.09765625
4108,2,6,1,0.09765625
1222,9,1,1,0.09765625
1708,7,2,1,0.09765625
428,0,8,1,0.09765625
266,2,8,1,0.09765625
257,0,8,1,0.09765625
9149,7,3,1,0.09765625
4715,9,1,1,0.09765625
1862,5,4,1,0.09765625
9204,9,8,1,0.09765625
3847,0,8,1,0.09765625
7235,2,6,1,0.09765625
952,6,2,1,0.09765625
8646,2,4,1,0.09765625
2309,6,3,1,0.09765625
5085,2,4,1,0.09765625
3194,3,5,1,0.09765625
818,8,1,1,0.09765625
5630,3,4,1,0.09765625
9452,2,4,1,0.09765625
9397,2,6,1,0.09765625
5258,2,6,1,0.09765625
3111,0,8,1,0.09765625
5814,8,0,1,0.09765625
2472,5,3,1,0.09765625
8463,1,3,1,0.09765625
2806,2,3,1,0.09765625
2130,0,2,1,0.09765625
3900,3,6,1,0.09765625
3328,2,4,1,0.09765625
312,8,0,1,0.09765625
7414,8,0,1,0.09765625
4439,9,3,1,0.09765625
8741,1,0,1,0.09765625
5187,4,3,1,0.09765625
8073,0,8,1,0.09765625
9881,9,1,1,0.09765625
7173,1,6,1,0.09765625
8606,1,3,1,0.09765625
5191,3,5,1,0.09765625
8921,8,0,1,0.09765625
5259,0,8,1,0.09765625
3569,9,6,1,0.09765625
3627,4,3,1,0.09765625
1963,2,0,1,0.09765625
2973,0,8,1,0.09765625
8810,2,3,1,0.09765625
980,2,6,1,0.09765625
2129,9,0,1,0.09765625
1043,2,7,1,0.09765625
8219,3,6,1,0.09765625
8869,5,3,1,0.09765625
6656,6,4,1,0.09765625
8758,9,7,1,0.09765625
1263,8,0,1,0.09765625
8103,7,5,1,0.09765625
9127,8,0,1,0.09765625
9841,0,8,1,0.09765625
1980,9,1,1,0.09765625
7628,4,3,1,0.09765625
3003,2,8,1,0.09765625
2769,2,9,1,0.09765625
2250,7,3,1,0.09765625
9252,7,4,1,0.09765625
8730,2,4,1,0.09765625
2141,7,5,1,0.09765625
8898,7,0,1,0.09765625
6424,8,0,1,0.09765625
6989,7,3,1,0.09765625
9761,5,3,1,0.09765625
7990,0,4,1,0.09765625
5034,8,0,1,0.09765625
3072,8,1,1,0.09765625
6136,9,3,1,0.09765625
1889,9,8,1,0.09765625
2898,8,9,1,0.09765625
889,4,6,1,0.09765625
129,2,0,1,0.09765625
8229,8,1,1,0.09765625
1433,7,5,1,0.09765625
6498,4,6,1,0.09765625
5277,8,1,1,0.09765625
7231,8,0,2,0.1953125
3067,3,4,2,0.1953125
8572,0,8,2,0.1953125
6454,4,6,2,0.1953125
3956,3,2,2,0.1953125
7255,3,2,2,0.1953125
8597,5,3,2,0.1953125
8269,8,0,2,0.1953125
3476,8,2,2,0.1953125
4375,3,5,2,0.1953125
53,3,6,2,0.1953125
6162,0,7,2,0.1953125
4814,3,6,2,0.1953125
6849,4,2,2,0.1953125
6562,5,9,2,0.1953125
1696,4,2,2,0.1953125
7979,3,5,2,0.1953125
519,8,1,2,0.1953125
5650,5,7,2,0.1953125
4478,1,8,2,0.1953125
6465,3,6,2,0.1953125
2171,2,5,2,0.1953125
2269,3,4,2,0.1953125
346,4,7,2,0.1953125
474,5,4,2,0.1953125
6904,5,0,2,0.1953125
8437,7,4,2,0.1953125
6631,7,4,2,0.1953125
9370,8,3,2,0.1953125
687,6,5,2,0.1953125
6021,3,0,2,0.1953125
6827,3,2,2,0.1953125
2324,0,2,2,0.1953125
3929,3,5,2,0.1953125
2350,3,6,2,0.1953125
4441,1,9,2,0.1953125
3845,0,8,2,0.1953125
974,7,0,2,0.1953125
9043,3,0,2,0.1953125
4820,3,5,2,0.1953125
1603,3,4,2,0.1953125
4447,0,8,2,0.1953125
3724,6,2,2,0.1953125
5991,3,5,2,0.1953125
6741,9,0,2,0.1953125
6234,7,5,2,0.1953125
1704,3,0,2,0.1953125
8139,1,9,2,0.1953125
5283,4,2,2,0.1953125
3505,4,5,2,0.1953125
7574,3,0,2,0.1953125
2314,3,0,2,0.1953125
8820,2,0,3,0.29296875
9050,5,3,3,0.29296875
7504,6,3,3,0.29296875
8518,9,8,3,0.29296875
2385,4,7,3,0.29296875
8050,7,4,3,0.29296875
3883,7,4,3,0.29296875
6488,2,7,3,0.29296875
9358,2,0,3,0.29296875
1651,0,2,3,0.29296875
9518,9,1,3,0.29296875
5861,1,9,3,0.29296875
2855,3,2,3,0.29296875
6808,0,8,3,0.29296875
3608,0,9,3,0.29296875
6039,8,1,3,0.29296875
1129,3,5,3,0.29296875
1732,9,1,3,0.29296875
7082,2,8,3,0.29296875
2712,1,8,3,0.29296875
4655,7,5,3,0.29296875
1778,8,0,3,0.29296875
8779,7,5,3,0.29296875
8428,5,7,3,0.29296875
8259,8,1,3,0.29296875
206,0,8,3,0.29296875
6180,0,8,3,0.29296875
8956,2,0,3,0.29296875
1955,2,7,3,0.29296875
2935,8,0,3,0.29296875
3168,9,3,3,0.29296875
2026,5,3,3,0.29296875
70,2,3,3,0.29296875
7930,2,0,3,0.29296875
